fLinkID,tLinkID,demand,fTime,tTime,mean,sd,vlim
162,162,68,0,300,19.36683004,2,20
162,162,86,300,600,19.47351419,2,20
162,162,68,600,900,19.08789384,2,20
162,162,84,900,1200,20.24765727,2,20
162,162,68,1200,1500,19.90196076,2,20
162,162,78,1500,1800,19.08119656,2,20
162,162,74,1800,2100,19.08295279,2,20
162,162,72,2100,2400,19.54475306,2,20
162,162,78,2400,2700,20.15151513,2,20
162,162,62,2700,3000,19.82240434,2,20
162,162,48,3000,3300,19.98842588,2,20
162,162,72,3300,3600,18.96701386,2,20
162,162,54,3600,3900,19.15094336,2,20
162,162,54,3900,4200,17.18029347,2,20
162,162,52,4200,4500,17.71786489,2,20
162,162,44,4500,4800,17.37080099,2,20
162,162,42,4800,5100,17.68768764,2,20
162,162,70,5100,5400,17.3253968,2,20
162,162,58,5400,5700,19.39083817,2,20
162,162,48,5700,6000,19.26504626,2,20
162,162,66,6000,6300,19.6324786,2,20
162,162,50,6300,6600,18.82653057,2,20
162,162,42,6600,6900,19.91402112,2,20
162,162,42,6900,7200,20.0948509,2,20
162,162,30,7200,7500,19.90740734,2,20
162,162,44,7500,7800,20.37467696,2,20
162,162,46,7800,8100,19.88888884,2,20
162,162,30,8100,8400,22.3703703,2,20
162,162,36,8400,8700,20.17746908,2,20
162,162,44,8700,9000,20.68475447,2,20
162,162,42,9000,9300,19.11246608,2,20
162,162,34,9300,9600,22.92087535,2,20
162,162,34,9600,9900,19.67320256,2,20
162,162,34,9900,10200,20.52188546,2,20
162,162,28,10200,10500,20.35714278,2,20
162,162,22,10500,10800,20.95029229,2,20
162,162,24,10800,11100,21.07487914,2,20
162,162,28,11100,11400,21.57777769,2,20
162,162,30,11400,11700,19.63888882,2,20
162,162,34,11700,12000,19.42810452,2,20
162,162,32,12000,12300,21.25868049,2,20
162,162,32,12300,12600,20.95878129,2,20
162,162,28,12600,12900,21.22023802,2,20
162,162,22,12900,13200,19.03439144,2,20
162,162,22,13200,13500,21.05820096,2,20
162,162,34,13500,13800,18.52693597,2,20
162,162,32,13800,14100,20.0806451,2,20
162,162,28,14100,14400,20.26785707,2,20
162,162,36,14400,14700,19.9768518,2,20
162,162,22,14700,15000,20.18939385,2,20
162,162,22,15000,15300,19.15343906,2,20
162,162,26,15300,15600,20.44444436,2,20
162,162,26,15600,15900,20.2777777,2,20
162,162,16,15900,16200,20.65972209,2,20
162,162,26,16200,16500,20.47453695,2,20
162,162,22,16500,16800,20.36616152,2,20
162,162,28,16800,17100,20.39094643,2,20
162,162,26,17100,17400,18.74444437,2,20
162,162,20,17400,17700,19.50292387,2,20
162,162,26,17700,18000,20.20299138,2,20
162,162,26,18000,18300,17.78846147,2,20
162,162,26,18300,18600,21.23333325,2,20
162,162,36,18600,18900,21.78571422,2,20
162,162,28,18900,19200,21.9337606,2,20
162,162,40,19200,19500,20.40598285,2,20
162,162,36,19500,19800,19.60317455,2,20
162,162,36,19800,20100,20.49206343,2,20
162,162,38,20100,20400,19.6564327,2,20
162,162,48,20400,20700,20.78605197,2,20
162,162,50,20700,21000,20.22222218,2,20
162,162,46,21000,21300,19.29629625,2,20
162,162,52,21300,21600,20.59368188,2,20
162,162,48,21600,21900,21.08217588,2,20
162,162,56,21900,22200,19.66111107,2,20
162,162,76,22200,22500,19.45185183,2,20
162,162,86,22500,22800,18.71124029,2,20
162,162,86,22800,23100,19.98062013,2,20
162,162,98,23100,23400,18.59410429,2,20
162,162,122,23400,23700,19.09779613,2,20
162,162,156,23700,24000,18.38319087,2,20
162,162,164,24000,24300,17.24096795,2,20
162,162,246,24300,24600,18.01814058,2,20
162,162,236,24600,24900,17.79550827,2,20
162,162,280,24900,25200,16.10491071,2,20
162,162,376,25200,25500,14.86518518,2,20
162,162,424,25500,25800,14.52061991,2,20
162,162,428,25800,26100,13.67082035,2,20
162,162,402,26100,26400,10.22374619,2,20
162,162,274,26400,26700,4.743589742,2,20
162,162,272,26700,27000,4.623178504,2,20
162,162,276,27000,27300,4.470611915,2,20
162,162,234,27300,27600,3.605820104,2,20
162,162,184,27600,27900,3.431997569,2,20
162,162,182,27900,28200,3.629527315,2,20
162,162,210,28200,28500,3.272195639,2,20
162,162,234,28500,28800,3.487654319,2,20
162,162,264,28800,29100,4.259259258,2,20
162,162,230,29100,29400,4.538647341,2,20
162,162,284,29400,29700,4.4581861,2,20
162,162,236,29700,30000,4.284869975,2,20
162,162,190,30000,30300,3.371345027,2,20
162,162,264,30300,30600,4.10118293,2,20
162,162,278,30600,30900,4.615307752,2,20
162,162,258,30900,31200,4.819121445,2,20
162,162,258,31200,31500,4.615218329,2,20
162,162,322,31500,31800,5.532191068,2,20
162,162,306,31800,32100,5.416211291,2,20
162,162,332,32100,32400,6.187248994,2,20
162,162,328,32400,32700,6.484586719,2,20
162,162,356,32700,33000,6.753277152,2,20
162,162,374,33000,33300,8.353174601,2,20
162,162,304,33300,33600,7.338650529,2,20
162,162,236,33600,33900,4.070150657,2,20
162,162,240,33900,34200,4.344490933,2,20
162,162,324,34200,34500,6.451674275,2,20
162,162,348,34500,34800,6.131864621,2,20
162,162,378,34800,35100,9.465075152,2,20
162,162,334,35100,35400,7.521688353,2,20
162,162,346,35400,35700,7.307321771,2,20
162,162,350,35700,36000,7.066666665,2,20
162,162,350,36000,36300,14.54603174,2,20
162,162,350,36300,36600,15.34383954,2,20
162,162,344,36600,36900,14.09297052,2,20
162,162,352,36900,37200,14.62594697,2,20
162,162,346,37200,37500,14.82498394,2,20
162,162,312,37500,37800,14.96260683,2,20
162,162,344,37800,38100,14.41052971,2,20
