laneID,tLinkID,time,speed,dis,RVID
34711,162,0.6,16.667,-1,1
34713,162,2.16,15,-1,2
34713,162,5.36,15,-1,3
34711,162,9.88,15,-1,4
34712,162,10.52,15,-1,5
34713,162,11.44,15,-1,6
34711,162,12.88,15,-1,7
34712,162,13.6,16.667,-1,8
34712,162,14.56,13.636,-1,9
34711,162,14.88,18.75,-1,10
34713,162,15.16,25,-1,11
34711,162,16.32,11.538,-1,12
34713,162,17.12,15,-1,13
34711,162,18,13.636,-1,14
34713,162,19.12,13.636,-1,15
34712,162,21.36,13.636,-1,16
34711,162,22.84,16.667,-1,17
34713,162,23.4,15,-1,18
34711,162,23.84,15,-1,19
34712,162,24.6,9.375,-1,20
34711,162,26.56,9.375,-1,21
34713,162,26.88,21.429,-1,22
34712,162,28.16,15,-1,23
34713,162,28.48,12.5,-1,24
34712,162,29.52,21.429,-1,25
34711,162,29.76,16.667,-1,26
34712,162,30.76,16.667,-1,27
34713,162,32.92,11.538,-1,28
34713,162,34.32,11.538,-1,29
34712,162,34.92,9.375,-1,30
34712,162,36.04,25,-1,31
34711,162,37.12,18.75,-1,32
34713,162,37.28,15,-1,33
34711,162,38.48,12.5,-1,34
34713,162,39.32,8.3333,-1,35
34711,162,39.64,13.636,-1,36
34711,162,40.32,15,-1,37
34713,162,40.64,8.8235,-1,38
34712,162,41.2,12.5,-1,39
34713,162,41.88,10,-1,40
34712,162,42.16,15,-1,41
34711,162,42.4,21.429,-1,42
34711,162,43.12,12.5,-1,43
34713,162,43.44,12.5,-1,44
34712,162,45.24,13.636,-1,45
34712,162,46.04,13.636,-1,46
34713,162,46.48,9.375,-1,47
34712,162,47.68,16.667,-1,48
34711,162,48.16,16.667,-1,49
34712,162,49,16.667,-1,50
34713,162,49.48,12.5,-1,51
34711,162,49.76,18.75,-1,52
34712,162,51.08,13.636,-1,53
34711,162,52.76,16.667,-1,54
34712,162,53.32,50,-1,55
34713,162,60.6,13.636,-1,56
34713,162,65.4,9.375,-1,57
34711,162,65.44,16.667,-1,58
34712,162,65.48,75,-1,59
34711,162,69.96,13.636,-1,60
34712,162,72.08,11.538,-1,61
34713,162,72.52,18.75,-1,62
34711,162,73.04,18.75,-1,63
34713,162,74.64,18.75,-1,64
34713,162,77.64,75,-1,65
34712,162,77.68,25,-1,66
34711,162,77.72,16.667,-1,67
34712,162,80.08,16.667,-1,68
34711,162,80.36,21.429,-1,69
34711,162,84.76,13.636,-1,70
34713,162,85.12,15,-1,71
34712,162,85.64,16.667,-1,72
34713,162,85.92,15,-1,73
34711,162,86.32,15,-1,74
34713,162,87.08,16.667,-1,75
34712,162,88.64,25,-1,76
34712,162,90.08,15,-1,77
34711,162,91.72,15,-1,78
34713,162,93.64,15,-1,79
34712,162,94.24,10.714,-1,80
34712,162,96.08,18.75,-1,81
34711,162,97.52,11.538,-1,82
34713,162,97.88,15,-1,83
34712,162,98.72,13.636,-1,84
34711,162,99.48,13.636,-1,85
34713,162,100.16,18.75,-1,86
34712,162,102.16,30,-1,87
34713,162,102.2,15,-1,88
34711,162,102.6,18.75,-1,89
34712,162,103.72,18.75,-1,90
34711,162,104.36,15,-1,91
34713,162,105.6,11.538,-1,92
34711,162,106.2,21.429,-1,93
34712,162,106.4,50,-1,94
34712,162,106.88,30,-1,95
34713,162,107.16,25,-1,96
34712,162,107.88,25,-1,97
34713,162,109.28,25,-1,98
34712,162,109.52,21.429,-1,99
34711,162,109.76,16.667,-1,100
34712,162,112.12,16.667,-1,101
34711,162,112.16,11.538,-1,102
34711,162,113.4,21.429,-1,103
34713,162,114.56,18.75,-1,104
34711,162,115.8,16.667,-1,105
34712,162,116.2,21.429,-1,106
34713,162,117.4,16.667,-1,107
34712,162,117.88,30,-1,108
34711,162,118.08,30,-1,109
34712,162,119.4,13.636,-1,110
34711,162,120.84,21.429,-1,111
34713,162,121.52,30,-1,112
34712,162,122.6,21.429,-1,113
34712,162,124.32,15,-1,114
34713,162,126.2,16.667,-1,115
34713,162,129.04,13.636,-1,116
34711,162,130.28,13.636,-1,117
34712,162,130.56,15,-1,118
34712,162,132.88,37.5,-1,119
34711,162,135.92,11.538,-1,120
34713,162,136.24,13.636,-1,121
34712,162,136.72,15,-1,122
34712,162,137.68,13.636,-1,123
34711,162,140.8,10,-1,124
34712,162,141.36,18.75,-1,125
34713,162,142,13.636,-1,126
34712,162,142.48,13.636,-1,127
34713,162,143.28,16.667,-1,128
34711,162,143.48,12.5,-1,129
34712,162,144.32,13.636,-1,130
34713,162,146.8,16.667,-1,131
34713,162,147.76,11.538,-1,132
34712,162,148.6,16.667,-1,133
34713,162,154.52,13.636,-1,134
34712,162,156.04,13.636,-1,135
34713,162,157.08,15,-1,136
34711,162,158.08,15,-1,137
34713,162,160,10.714,-1,138
34712,162,160.04,10.714,-1,139
34712,162,162.72,13.636,-1,140
34711,162,163.12,16.667,-1,141
34713,162,165.16,15,-1,142
34713,162,165.84,13.636,-1,143
34712,162,167.88,13.636,-1,144
34713,162,168.56,18.75,-1,145
34711,162,169.04,15,-1,146
34711,162,170.96,13.636,-1,147
34713,162,171.92,7.5,-1,148
34712,162,173.36,12.5,-1,149
34713,162,174.08,7.5,-1,150
34711,162,174.28,18.75,-1,151
34712,162,174.92,16.667,-1,152
34711,162,175.56,15,-1,153
34712,162,176,30,-1,154
34711,162,177.4,21.429,-1,155
34712,162,177.96,16.667,-1,156
34713,162,181.04,12.5,-1,157
34712,162,181.08,15,-1,158
