laneID,tLinkID,time,speed,dis
34711,162,0.6,16.667,-1
34713,162,2.16,15,-1
34713,162,5.36,15,-1
34711,162,9.88,15,-1
34712,162,10.52,15,-1
34713,162,11.44,15,-1
34711,162,12.88,15,-1
34712,162,13.6,16.667,-1
34712,162,14.56,13.636,-1
34711,162,14.88,18.75,-1
34713,162,15.16,25,-1
34711,162,16.32,11.538,-1
34713,162,17.12,15,-1
34711,162,18,13.636,-1
34713,162,19.12,13.636,-1
34712,162,21.36,13.636,-1
34711,162,22.84,16.667,-1
34713,162,23.4,15,-1
34711,162,23.84,15,-1
34712,162,24.6,9.375,-1
34711,162,26.56,9.375,-1
34713,162,26.88,21.429,-1
34712,162,28.16,15,-1
34713,162,28.48,12.5,-1
34712,162,29.52,21.429,-1
34711,162,29.76,16.667,-1
34712,162,30.76,16.667,-1
34713,162,32.92,11.538,-1
34713,162,34.32,11.538,-1
34712,162,34.92,9.375,-1
34712,162,36.04,25,-1
34711,162,37.12,18.75,-1
34713,162,37.28,15,-1
34711,162,38.48,12.5,-1
34713,162,39.32,8.3333,-1
34711,162,39.64,13.636,-1
34711,162,40.32,15,-1
34713,162,40.64,8.8235,-1
34712,162,41.2,12.5,-1
34713,162,41.88,10,-1
34712,162,42.16,15,-1
34711,162,42.4,21.429,-1
34711,162,43.12,12.5,-1
34713,162,43.44,12.5,-1
34712,162,45.24,13.636,-1
34712,162,46.04,13.636,-1
34713,162,46.48,9.375,-1
34712,162,47.68,16.667,-1
34711,162,48.16,16.667,-1
34712,162,49,16.667,-1
34713,162,49.48,12.5,-1
34711,162,49.76,18.75,-1
34712,162,51.08,13.636,-1
34711,162,52.76,16.667,-1
34712,162,53.32,50,-1
34713,162,60.6,13.636,-1
34713,162,65.4,9.375,-1
34711,162,65.44,16.667,-1
34712,162,65.48,75,-1
34711,162,69.96,13.636,-1
34712,162,72.08,11.538,-1
34713,162,72.52,18.75,-1
34711,162,73.04,18.75,-1
34713,162,74.64,18.75,-1
34713,162,77.64,75,-1
34712,162,77.68,25,-1
34711,162,77.72,16.667,-1
34712,162,80.08,16.667,-1
34711,162,80.36,21.429,-1
34711,162,84.76,13.636,-1
34713,162,85.12,15,-1
34712,162,85.64,16.667,-1
34713,162,85.92,15,-1
34711,162,86.32,15,-1
34713,162,87.08,16.667,-1
34712,162,88.64,25,-1
34712,162,90.08,15,-1
34711,162,91.72,15,-1
34713,162,93.64,15,-1
34712,162,94.24,10.714,-1
34712,162,96.08,18.75,-1
34711,162,97.52,11.538,-1
34713,162,97.88,15,-1
34712,162,98.72,13.636,-1
34711,162,99.48,13.636,-1
34713,162,100.16,18.75,-1
34712,162,102.16,30,-1
34713,162,102.2,15,-1
34711,162,102.6,18.75,-1
34712,162,103.72,18.75,-1
34711,162,104.36,15,-1
34713,162,105.6,11.538,-1
34711,162,106.2,21.429,-1
34712,162,106.4,50,-1
34712,162,106.88,30,-1
34713,162,107.16,25,-1
34712,162,107.88,25,-1
34713,162,109.28,25,-1
34712,162,109.52,21.429,-1
34711,162,109.76,16.667,-1
34712,162,112.12,16.667,-1
34711,162,112.16,11.538,-1
34711,162,113.4,21.429,-1
34713,162,114.56,18.75,-1
34711,162,115.8,16.667,-1
34712,162,116.2,21.429,-1
34713,162,117.4,16.667,-1
34712,162,117.88,30,-1
34711,162,118.08,30,-1
34712,162,119.4,13.636,-1
34711,162,120.84,21.429,-1
34713,162,121.52,30,-1
34712,162,122.6,21.429,-1
34712,162,124.32,15,-1
34713,162,126.2,16.667,-1
34713,162,129.04,13.636,-1
34711,162,130.28,13.636,-1
34712,162,130.56,15,-1
34712,162,132.88,37.5,-1
34711,162,135.92,11.538,-1
34713,162,136.24,13.636,-1
34712,162,136.72,15,-1
34712,162,137.68,13.636,-1
34711,162,140.8,10,-1
34712,162,141.36,18.75,-1
34713,162,142,13.636,-1
34712,162,142.48,13.636,-1
34713,162,143.28,16.667,-1
34711,162,143.48,12.5,-1
34712,162,144.32,13.636,-1
34713,162,146.8,16.667,-1
34713,162,147.76,11.538,-1
34712,162,148.6,16.667,-1
34713,162,154.52,13.636,-1
34712,162,156.04,13.636,-1
34713,162,157.08,15,-1
34711,162,158.08,15,-1
34713,162,160,10.714,-1
34712,162,160.04,10.714,-1
34712,162,162.72,13.636,-1
34711,162,163.12,16.667,-1
34713,162,165.16,15,-1
34713,162,165.84,13.636,-1
34712,162,167.88,13.636,-1
34713,162,168.56,18.75,-1
34711,162,169.04,15,-1
34711,162,170.96,13.636,-1
34713,162,171.92,7.5,-1
34712,162,173.36,12.5,-1
34713,162,174.08,7.5,-1
34711,162,174.28,18.75,-1
34712,162,174.92,16.667,-1
34711,162,175.56,15,-1
34712,162,176,30,-1
34711,162,177.4,21.429,-1
34712,162,177.96,16.667,-1
34713,162,181.04,12.5,-1
34712,162,181.08,15,-1
34713,162,185.4,11.538,-1
34711,162,185.8,15,-1
34712,162,186.28,12.5,-1
34712,162,194.16,13.636,-1
34712,162,196.88,16.667,-1
34711,162,197.24,30,-1
34713,162,197.28,16.667,-1
34712,162,197.8,18.75,-1
34712,162,207.48,10,-1
34713,162,208.64,18.75,-1
34712,162,213.04,15,-1
34712,162,215.12,21.429,-1
34711,162,215.4,25,-1
34713,162,216.76,18.75,-1
34712,162,218.12,30,-1
34711,162,218.68,13.636,-1
34713,162,219.4,37.5,-1
34713,162,220.36,21.429,-1
34712,162,221.2,21.429,-1
34711,162,221.72,18.75,-1
34712,162,222.56,5,-1
34713,162,222.84,21.429,-1
34712,162,223.52,25,-1
34713,162,223.72,18.75,-1
34711,162,224.96,21.429,-1
34713,162,227.2,16.667,-1
34712,162,228.08,18.75,-1
34713,162,231.6,15,-1
34712,162,233.04,75,-1
34713,162,235.08,25,-1
34712,162,235.36,25,-1
34712,162,236.08,16.667,-1
34711,162,237.84,25,-1
34712,162,238.04,15,-1
34713,162,238.2,13.636,-1
34711,162,239.28,25,-1
34713,162,239.96,18.75,-1
34712,162,240.16,16.667,-1
34713,162,240.72,18.75,-1
34712,162,242.56,16.667,-1
34713,162,243.6,13.636,-1
34711,162,244.68,13.636,-1
34712,162,244.72,16.667,-1
34712,162,245.44,15,-1
34711,162,246,18.75,-1
34711,162,247.2,12.5,-1
34713,162,249.36,13.636,-1
34712,162,249.84,30,-1
34712,162,251.64,15,-1
34713,162,252.56,21.429,-1
34712,162,254.08,11.538,-1
34713,162,255.52,18.75,-1
34711,162,256.04,16.667,-1
34712,162,256.44,18.75,-1
34713,162,257.08,16.667,-1
34712,162,258.08,18.75,-1
34711,162,259.08,13.636,-1
34712,162,259.4,15,-1
34713,162,260.28,50,-1
34711,162,260.92,18.75,-1
34711,162,262.36,13.636,-1
34712,162,263.56,12.5,-1
34713,162,263.72,15,-1
34713,162,264.84,15,-1
34711,162,265.16,15,-1
34712,162,266.72,21.429,-1
34711,162,267,25,-1
34712,162,267.92,10,-1
34713,162,268.04,13.636,-1
34713,162,268.72,16.667,-1
34711,162,269.12,18.75,-1
34711,162,269.92,10.714,-1
34712,162,271.84,30,-1
34713,162,272,18.75,-1
34713,162,273.8,16.667,-1
34712,162,275.08,50,-1
34711,162,275.48,50,-1
34713,162,276.76,21.429,-1
34712,162,277.4,16.667,-1
34711,162,277.84,18.75,-1
34711,162,279.72,15,-1
34712,162,279.8,21.429,-1
34713,162,283,15,-1
34712,162,283.4,10.714,-1
34711,162,283.72,15,-1
34712,162,287.76,18.75,-1
34711,162,288.08,30,-1
34712,162,290.08,37.5,-1
34712,162,291.32,11.538,-1
34713,162,291.6,21.429,-1
34711,162,298.08,16.667,-1
34713,162,298.36,15,-1
34711,162,299.12,18.75,-1
34712,162,299.32,10.714,-1
34713,162,300.48,21.429,-1
34713,162,303.72,15,-1
34711,162,305.88,13.636,-1
34712,162,311.6,10.714,-1
34713,162,311.64,25,-1
34712,162,316.6,12.5,-1
34711,162,322.68,21.429,-1
34712,162,323,10.714,-1
34713,162,323.48,12.5,-1
34712,162,324.52,18.75,-1
34713,162,328.48,13.636,-1
34712,162,330.96,12.5,-1
34713,162,332.56,15,-1
34711,162,334.92,21.429,-1
34713,162,335.24,13.636,-1
34712,162,344.08,15,-1
34713,162,345.28,13.636,-1
34711,162,347.96,16.667,-1
34712,162,349.36,21.429,-1
34713,162,349.48,16.667,-1
34711,162,351.08,30,-1
34712,162,351.56,21.429,-1
34713,162,351.64,37.5,-1
34713,162,352.6,21.429,-1
34713,162,361.88,21.429,-1
34712,162,363.04,10.714,-1
34711,162,363.6,9.375,-1
34713,162,363.8,25,-1
34711,162,364.8,15,-1
34712,162,366,12.5,-1
34713,162,366.24,13.636,-1
34712,162,367.36,15,-1
34711,162,367.52,12.5,-1
34711,162,368.96,13.636,-1
34713,162,369.2,15,-1
34711,162,369.84,15,-1
34713,162,370.32,10.714,-1
34712,162,370.48,16.667,-1
34711,162,370.84,15,-1
34711,162,373.92,16.667,-1
34712,162,374.12,13.636,-1
34713,162,375.12,15,-1
34712,162,375.8,12.5,-1
34711,162,376,12.5,-1
34711,162,377.96,12.5,-1
34713,162,380.8,13.636,-1
34712,162,380.96,18.75,-1
34711,162,382.72,16.667,-1
34713,162,386.44,15,-1
34712,162,386.48,15,-1
34712,162,390.4,18.75,-1
34713,162,390.6,18.75,-1
34711,162,391,16.667,-1
34712,162,393.12,16.667,-1
34711,162,395.2,21.429,-1
34712,162,396.96,15,-1
34711,162,397.48,15,-1
34712,162,400.16,8.8235,-1
34711,162,401.28,25,-1
34713,162,404.2,16.667,-1
34711,162,404.96,15,-1
34712,162,406.28,13.636,-1
34713,162,406.8,12.5,-1
34711,162,407.12,16.667,-1
34712,162,407.4,16.667,-1
34713,162,408.08,37.5,-1
34711,162,408.68,25,-1
34713,162,409.04,21.429,-1
34712,162,409.24,15,-1
34713,162,410.36,30,-1
34713,162,411.44,16.667,-1
34712,162,412.4,21.429,-1
34712,162,413.52,15,-1
34712,162,414.92,13.636,-1
34713,162,415.52,25,-1
34711,162,416.04,25,-1
34713,162,417.72,18.75,-1
34712,162,418.48,18.75,-1
34711,162,420.36,15,-1
34712,162,421.08,10.714,-1
34712,162,423.6,25,-1
34713,162,424.24,13.636,-1
34712,162,427.4,15,-1
34712,162,429.76,16.667,-1
34711,162,430.2,16.667,-1
34713,162,433.96,15,-1
34712,162,434.24,15,-1
34713,162,441.92,16.667,-1
34712,162,443.16,13.636,-1
34713,162,443.44,18.75,-1
34712,162,446.4,15,-1
34713,162,446.6,16.667,-1
34711,162,449.76,18.75,-1
34712,162,454.16,16.667,-1
34713,162,454.88,16.667,-1
34711,162,455.12,21.429,-1
34712,162,457.4,30,-1
34713,162,458.2,18.75,-1
34711,162,459.2,15,-1
34712,162,464.24,16.667,-1
34712,162,466.48,21.429,-1
34713,162,468.24,16.667,-1
34711,162,469.6,16.667,-1
34713,162,469.84,16.667,-1
34712,162,470.16,25,-1
34711,162,471.72,21.429,-1
34713,162,473.08,25,-1
34712,162,473.6,11.538,-1
34711,162,473.64,21.429,-1
34713,162,476.32,13.636,-1
34712,162,477.68,16.667,-1
34713,162,481.36,21.429,-1
34712,162,481.76,21.429,-1
34713,162,482.04,16.667,-1
34713,162,484.16,16.667,-1
34713,162,488.16,15,-1
34712,162,488.2,25,-1
34712,162,490.6,16.667,-1
34713,162,491.28,18.75,-1
34712,162,491.88,5.7692,-1
34712,162,492.6,18.75,-1
34713,162,494.76,18.75,-1
34712,162,495.36,21.429,-1
34712,162,496.68,21.429,-1
34711,162,497.08,8.8235,-1
34712,162,497.6,13.636,-1
34713,162,497.96,16.667,-1
34712,162,499.72,15,-1
34713,162,500.24,15,-1
34712,162,500.88,18.75,-1
