laneID,tLinkID,time,speed,dis,RVID
79401,26,0.6,16.667,-1,1
79403,26,2.16,15,-1,2
79403,25,5.36,15,-1,3
79401,25,9.88,15,-1,4
79402,25,10.52,15,-1,5
79403,25,11.44,15,-1,6
79401,26,12.88,15,-1,7
79402,25,13.6,16.667,-1,8
79402,26,14.56,13.636,-1,9
79401,26,14.88,18.75,-1,10
79403,26,15.16,25,-1,11
79401,26,16.32,11.538,-1,12
79403,26,17.12,15,-1,13
79401,26,18,13.636,-1,14
79403,26,19.12,13.636,-1,15
79402,26,21.36,13.636,-1,16
79401,26,22.84,16.667,-1,17
79403,26,23.4,15,-1,18
79401,25,23.84,15,-1,19
79402,25,24.6,9.375,-1,20
79401,25,26.56,9.375,-1,21
79403,26,26.88,21.429,-1,22
79402,25,28.16,15,-1,23
79403,25,28.48,12.5,-1,24
79402,26,29.52,21.429,-1,25
79401,25,29.76,16.667,-1,26
79402,25,30.76,16.667,-1,27
79403,25,32.92,11.538,-1,28
79403,25,34.32,11.538,-1,29
79402,25,34.92,9.375,-1,30
79402,26,36.04,25,-1,31
79401,26,37.12,18.75,-1,32
79403,25,37.28,15,-1,33
79401,26,38.48,12.5,-1,34
79403,26,39.32,8.3333,-1,35
79401,25,39.64,13.636,-1,36
79401,26,40.32,15,-1,37
79403,26,40.64,8.8235,-1,38
79402,25,41.2,12.5,-1,39
79403,26,41.88,10,-1,40
79402,25,42.16,15,-1,41
79401,26,42.4,21.429,-1,42
79401,25,43.12,12.5,-1,43
79403,26,43.44,12.5,-1,44
79402,25,45.24,13.636,-1,45
79402,25,46.04,13.636,-1,46
79403,26,46.48,9.375,-1,47
79402,25,47.68,16.667,-1,48
79401,26,48.16,16.667,-1,49
79402,25,49,16.667,-1,50
79403,26,49.48,12.5,-1,51
79401,25,49.76,18.75,-1,52
79402,26,51.08,13.636,-1,53
79401,25,52.76,16.667,-1,54
79402,26,53.32,50,-1,55
79403,26,60.6,13.636,-1,56
79403,25,65.4,9.375,-1,57
79401,26,65.44,16.667,-1,58
79402,25,65.48,75,-1,59
79401,26,69.96,13.636,-1,60
79402,26,72.08,11.538,-1,61
79403,25,72.52,18.75,-1,62
79401,25,73.04,18.75,-1,63
79403,26,74.64,18.75,-1,64
79403,25,77.64,75,-1,65
79402,25,77.68,25,-1,66
79401,25,77.72,16.667,-1,67
79402,26,80.08,16.667,-1,68
79401,25,80.36,21.429,-1,69
79401,26,84.76,13.636,-1,70
79403,26,85.12,15,-1,71
79402,26,85.64,16.667,-1,72
79403,26,85.92,15,-1,73
79401,25,86.32,15,-1,74
79403,26,87.08,16.667,-1,75
79402,26,88.64,25,-1,76
79402,26,90.08,15,-1,77
79401,25,91.72,15,-1,78
79403,25,93.64,15,-1,79
79402,25,94.24,10.714,-1,80
79402,26,96.08,18.75,-1,81
79401,25,97.52,11.538,-1,82
79403,25,97.88,15,-1,83
79402,25,98.72,13.636,-1,84
79401,26,99.48,13.636,-1,85
79403,26,100.16,18.75,-1,86
79402,25,102.16,30,-1,87
79403,25,102.2,15,-1,88
79401,26,102.6,18.75,-1,89
79402,25,103.72,18.75,-1,90
79401,26,104.36,15,-1,91
79403,26,105.6,11.538,-1,92
79401,26,106.2,21.429,-1,93
79402,25,106.4,50,-1,94
79402,25,106.88,30,-1,95
79403,25,107.16,25,-1,96
79402,26,107.88,25,-1,97
79403,25,109.28,25,-1,98
79402,25,109.52,21.429,-1,99
79401,25,109.76,16.667,-1,100
79402,26,112.12,16.667,-1,101
79401,26,112.16,11.538,-1,102
79401,25,113.4,21.429,-1,103
79403,25,114.56,18.75,-1,104
79401,25,115.8,16.667,-1,105
79402,25,116.2,21.429,-1,106
79403,26,117.4,16.667,-1,107
79402,26,117.88,30,-1,108
79401,26,118.08,30,-1,109
79402,26,119.4,13.636,-1,110
79401,25,120.84,21.429,-1,111
79403,25,121.52,30,-1,112
