laneID,tLinkID,time,speed,dis,RVID
34711,161,0.6,16.667,-1,1
34713,161,2.16,15,-1,2
34713,160,5.36,15,-1,3
34711,160,9.88,15,-1,4
34712,160,10.52,15,-1,5
34713,160,11.44,15,-1,6
34711,161,12.88,15,-1,7
34712,160,13.6,16.667,-1,8
34712,161,14.56,13.636,-1,9
34711,161,14.88,18.75,-1,10
34713,161,15.16,25,-1,11
34711,161,16.32,11.538,-1,12
34713,161,17.12,15,-1,13
34711,161,18,13.636,-1,14
34713,161,19.12,13.636,-1,15
34712,161,21.36,13.636,-1,16
34711,161,22.84,16.667,-1,17
34713,161,23.4,15,-1,18
34711,160,23.84,15,-1,19
34712,160,24.6,9.375,-1,20
34711,160,26.56,9.375,-1,21
34713,161,26.88,21.429,-1,22
34712,160,28.16,15,-1,23
34713,160,28.48,12.5,-1,24
34712,161,29.52,21.429,-1,25
34711,160,29.76,16.667,-1,26
34712,160,30.76,16.667,-1,27
34713,160,32.92,11.538,-1,28
34713,160,34.32,11.538,-1,29
34712,160,34.92,9.375,-1,30
34712,161,36.04,25,-1,31
34711,161,37.12,18.75,-1,32
34713,160,37.28,15,-1,33
34711,161,38.48,12.5,-1,34
34713,161,39.32,8.3333,-1,35
34711,160,39.64,13.636,-1,36
34711,161,40.32,15,-1,37
34713,161,40.64,8.8235,-1,38
34712,160,41.2,12.5,-1,39
34713,161,41.88,10,-1,40
34712,160,42.16,15,-1,41
34711,161,42.4,21.429,-1,42
34711,160,43.12,12.5,-1,43
34713,161,43.44,12.5,-1,44
34712,160,45.24,13.636,-1,45
34712,160,46.04,13.636,-1,46
34713,161,46.48,9.375,-1,47
34712,160,47.68,16.667,-1,48
34711,161,48.16,16.667,-1,49
34712,160,49,16.667,-1,50
34713,161,49.48,12.5,-1,51
34711,160,49.76,18.75,-1,52
34712,161,51.08,13.636,-1,53
34711,160,52.76,16.667,-1,54
34712,161,53.32,50,-1,55
34713,161,60.6,13.636,-1,56
34713,160,65.4,9.375,-1,57
34711,161,65.44,16.667,-1,58
34712,160,65.48,75,-1,59
34711,161,69.96,13.636,-1,60
34712,161,72.08,11.538,-1,61
34713,160,72.52,18.75,-1,62
34711,160,73.04,18.75,-1,63
34713,161,74.64,18.75,-1,64
34713,160,77.64,75,-1,65
34712,160,77.68,25,-1,66
34711,160,77.72,16.667,-1,67
34712,161,80.08,16.667,-1,68
34711,160,80.36,21.429,-1,69
34711,161,84.76,13.636,-1,70
34713,161,85.12,15,-1,71
34712,161,85.64,16.667,-1,72
34713,161,85.92,15,-1,73
34711,160,86.32,15,-1,74
34713,161,87.08,16.667,-1,75
34712,161,88.64,25,-1,76
34712,161,90.08,15,-1,77
34711,160,91.72,15,-1,78
34713,160,93.64,15,-1,79
34712,160,94.24,10.714,-1,80
34712,161,96.08,18.75,-1,81
34711,160,97.52,11.538,-1,82
34713,160,97.88,15,-1,83
34712,160,98.72,13.636,-1,84
34711,161,99.48,13.636,-1,85
34713,161,100.16,18.75,-1,86
34712,160,102.16,30,-1,87
34713,160,102.2,15,-1,88
34711,161,102.6,18.75,-1,89
34712,160,103.72,18.75,-1,90
34711,161,104.36,15,-1,91
34713,161,105.6,11.538,-1,92
34711,161,106.2,21.429,-1,93
34712,160,106.4,50,-1,94
34712,160,106.88,30,-1,95
34713,160,107.16,25,-1,96
34712,161,107.88,25,-1,97
34713,160,109.28,25,-1,98
34712,160,109.52,21.429,-1,99
34711,160,109.76,16.667,-1,100
34712,161,112.12,16.667,-1,101
34711,161,112.16,11.538,-1,102
34711,160,113.4,21.429,-1,103
34713,160,114.56,18.75,-1,104
34711,160,115.8,16.667,-1,105
34712,160,116.2,21.429,-1,106
34713,161,117.4,16.667,-1,107
34712,161,117.88,30,-1,108
34711,161,118.08,30,-1,109
34712,161,119.4,13.636,-1,110
34711,160,120.84,21.429,-1,111
34713,160,121.52,30,-1,112
34712,161,122.6,21.429,-1,113
34712,161,124.32,15,-1,114
34713,160,126.2,16.667,-1,115
34713,161,129.04,13.636,-1,116
34711,161,130.28,13.636,-1,117
34712,161,130.56,15,-1,118
34712,161,132.88,37.5,-1,119
34711,160,135.92,11.538,-1,120
34713,161,136.24,13.636,-1,121
34712,160,136.72,15,-1,122
34712,160,137.68,13.636,-1,123
34711,161,140.8,10,-1,124
34712,160,141.36,18.75,-1,125
34713,161,142,13.636,-1,126
34712,161,142.48,13.636,-1,127
34713,161,143.28,16.667,-1,128
34711,160,143.48,12.5,-1,129
34712,161,144.32,13.636,-1,130
34713,160,146.8,16.667,-1,131
34713,160,147.76,11.538,-1,132
34712,161,148.6,16.667,-1,133
34713,161,154.52,13.636,-1,134
34712,161,156.04,13.636,-1,135
34713,161,157.08,15,-1,136
34711,161,158.08,15,-1,137
34713,160,160,10.714,-1,138
34712,160,160.04,10.714,-1,139
34712,160,162.72,13.636,-1,140
34711,160,163.12,16.667,-1,141
34713,160,165.16,15,-1,142
34713,160,165.84,13.636,-1,143
34712,160,167.88,13.636,-1,144
34713,160,168.56,18.75,-1,145
34711,161,169.04,15,-1,146
34711,161,170.96,13.636,-1,147
34713,161,171.92,7.5,-1,148
34712,161,173.36,12.5,-1,149
34713,161,174.08,7.5,-1,150
34711,160,174.28,18.75,-1,151
34712,161,174.92,16.667,-1,152
34711,160,175.56,15,-1,153
34712,160,176,30,-1,154
34711,161,177.4,21.429,-1,155
34712,160,177.96,16.667,-1,156
34713,160,181.04,12.5,-1,157
34712,160,181.08,15,-1,158
34713,160,185.4,11.538,-1,159
34711,161,185.8,15,-1,160
34712,160,186.28,12.5,-1,161
34712,161,194.16,13.636,-1,162
34712,161,196.88,16.667,-1,163
34711,161,197.24,30,-1,164
34713,161,197.28,16.667,-1,165
34712,160,197.8,18.75,-1,166
34712,160,207.48,10,-1,167
34713,160,208.64,18.75,-1,168
34712,161,213.04,15,-1,169
34712,161,215.12,21.429,-1,170
34711,160,215.4,25,-1,171
34713,161,216.76,18.75,-1,172
34712,160,218.12,30,-1,173
34711,160,218.68,13.636,-1,174
34713,160,219.4,37.5,-1,175
34713,161,220.36,21.429,-1,176
34712,161,221.2,21.429,-1,177
34711,161,221.72,18.75,-1,178
34712,160,222.56,5,-1,179
34713,160,222.84,21.429,-1,180
34712,161,223.52,25,-1,181
34713,161,223.72,18.75,-1,182
34711,160,224.96,21.429,-1,183
34713,161,227.2,16.667,-1,184
34712,161,228.08,18.75,-1,185
34713,160,231.6,15,-1,186
34712,161,233.04,75,-1,187
34713,161,235.08,25,-1,188
34712,161,235.36,25,-1,189
34712,161,236.08,16.667,-1,190
34711,161,237.84,25,-1,191
34712,161,238.04,15,-1,192
34713,160,238.2,13.636,-1,193
34711,160,239.28,25,-1,194
34713,160,239.96,18.75,-1,195
34712,160,240.16,16.667,-1,196
34713,160,240.72,18.75,-1,197
34712,160,242.56,16.667,-1,198
34713,160,243.6,13.636,-1,199
34711,160,244.68,13.636,-1,200
34712,160,244.72,16.667,-1,201
34712,160,245.44,15,-1,202
34711,161,246,18.75,-1,203
34711,161,247.2,12.5,-1,204
34713,161,249.36,13.636,-1,205
34712,161,249.84,30,-1,206
34712,160,251.64,15,-1,207
34713,161,252.56,21.429,-1,208
34712,160,254.08,11.538,-1,209
34713,160,255.52,18.75,-1,210
34711,161,256.04,16.667,-1,211
34712,160,256.44,18.75,-1,212
34713,160,257.08,16.667,-1,213
34712,160,258.08,18.75,-1,214
34711,161,259.08,13.636,-1,215
34712,160,259.4,15,-1,216
34713,161,260.28,50,-1,217
34711,160,260.92,18.75,-1,218
34711,161,262.36,13.636,-1,219
34712,160,263.56,12.5,-1,220
34713,161,263.72,15,-1,221
34713,160,264.84,15,-1,222
34711,161,265.16,15,-1,223
34712,161,266.72,21.429,-1,224
34711,161,267,25,-1,225
34712,161,267.92,10,-1,226
34713,161,268.04,13.636,-1,227
34713,160,268.72,16.667,-1,228
34711,160,269.12,18.75,-1,229
34711,161,269.92,10.714,-1,230
34712,161,271.84,30,-1,231
34713,160,272,18.75,-1,232
34713,161,273.8,16.667,-1,233
34712,161,275.08,50,-1,234
34711,160,275.48,50,-1,235
34713,160,276.76,21.429,-1,236
34712,161,277.4,16.667,-1,237
34711,160,277.84,18.75,-1,238
34711,161,279.72,15,-1,239
34712,160,279.8,21.429,-1,240
34713,160,283,15,-1,241
34712,161,283.4,10.714,-1,242
34711,160,283.72,15,-1,243
34712,160,287.76,18.75,-1,244
34711,161,288.08,30,-1,245
34712,160,290.08,37.5,-1,246
34712,161,291.32,11.538,-1,247
34713,160,291.6,21.429,-1,248
34711,161,298.08,16.667,-1,249
34713,160,298.36,15,-1,250
34711,161,299.12,18.75,-1,251
34712,161,299.32,10.714,-1,252
34713,160,300.48,21.429,-1,253
34713,161,303.72,15,-1,254
34711,161,305.88,13.636,-1,255
34712,160,311.6,10.714,-1,256
34713,160,311.64,25,-1,257
34712,161,316.6,12.5,-1,258
34711,161,322.68,21.429,-1,259
34712,160,323,10.714,-1,260
34713,161,323.48,12.5,-1,261
34712,161,324.52,18.75,-1,262
34713,161,328.48,13.636,-1,263
34712,161,330.96,12.5,-1,264
34713,161,332.56,15,-1,265
34711,160,334.92,21.429,-1,266
34713,161,335.24,13.636,-1,267
34712,161,344.08,15,-1,268
34713,160,345.28,13.636,-1,269
34711,161,347.96,16.667,-1,270
34712,160,349.36,21.429,-1,271
34713,161,349.48,16.667,-1,272
34711,160,351.08,30,-1,273
34712,160,351.56,21.429,-1,274
34713,160,351.64,37.5,-1,275
34713,161,352.6,21.429,-1,276
34713,160,361.88,21.429,-1,277
34712,161,363.04,10.714,-1,278
34711,160,363.6,9.375,-1,279
34713,161,363.8,25,-1,280
34711,161,364.8,15,-1,281
34712,161,366,12.5,-1,282
34713,161,366.24,13.636,-1,283
34712,160,367.36,15,-1,284
34711,161,367.52,12.5,-1,285
34711,160,368.96,13.636,-1,286
34713,161,369.2,15,-1,287
34711,160,369.84,15,-1,288
34713,161,370.32,10.714,-1,289
34712,160,370.48,16.667,-1,290
34711,161,370.84,15,-1,291
34711,161,373.92,16.667,-1,292
34712,160,374.12,13.636,-1,293
34713,161,375.12,15,-1,294
34712,161,375.8,12.5,-1,295
34711,160,376,12.5,-1,296
34711,160,377.96,12.5,-1,297
34713,160,380.8,13.636,-1,298
34712,160,380.96,18.75,-1,299
34711,160,382.72,16.667,-1,300
34713,161,386.44,15,-1,301
34712,161,386.48,15,-1,302
34712,161,390.4,18.75,-1,303
34713,161,390.6,18.75,-1,304
34711,160,391,16.667,-1,305
34712,160,393.12,16.667,-1,306
34711,161,395.2,21.429,-1,307
34712,160,396.96,15,-1,308
34711,160,397.48,15,-1,309
34712,161,400.16,8.8235,-1,310
34711,160,401.28,25,-1,311
34713,160,404.2,16.667,-1,312
34711,160,404.96,15,-1,313
34712,161,406.28,13.636,-1,314
34713,160,406.8,12.5,-1,315
34711,161,407.12,16.667,-1,316
34712,161,407.4,16.667,-1,317
34713,160,408.08,37.5,-1,318
34711,160,408.68,25,-1,319
34713,160,409.04,21.429,-1,320
34712,160,409.24,15,-1,321
34713,160,410.36,30,-1,322
34713,161,411.44,16.667,-1,323
34712,161,412.4,21.429,-1,324
34712,160,413.52,15,-1,325
34712,160,414.92,13.636,-1,326
34713,160,415.52,25,-1,327
34711,161,416.04,25,-1,328
34713,160,417.72,18.75,-1,329
34712,161,418.48,18.75,-1,330
34711,160,420.36,15,-1,331
34712,161,421.08,10.714,-1,332
34712,160,423.6,25,-1,333
34713,160,424.24,13.636,-1,334
34712,161,427.4,15,-1,335
34712,160,429.76,16.667,-1,336
34711,160,430.2,16.667,-1,337
34713,160,433.96,15,-1,338
34712,160,434.24,15,-1,339
34713,160,441.92,16.667,-1,340
34712,160,443.16,13.636,-1,341
34713,160,443.44,18.75,-1,342
34712,161,446.4,15,-1,343
34713,160,446.6,16.667,-1,344
34711,160,449.76,18.75,-1,345
34712,161,454.16,16.667,-1,346
34713,161,454.88,16.667,-1,347
34711,160,455.12,21.429,-1,348
34712,160,457.4,30,-1,349
34713,160,458.2,18.75,-1,350
34711,160,459.2,15,-1,351
34712,161,464.24,16.667,-1,352
34712,160,466.48,21.429,-1,353
34713,160,468.24,16.667,-1,354
34711,160,469.6,16.667,-1,355
34713,161,469.84,16.667,-1,356
34712,160,470.16,25,-1,357
