fLinkID,tLinkID,demand,fTime,tTime,mean,sd,vlim
111,26,54000,0,43200,17,1,33.3
111,25,600,0,43200,17,1,33.3
111,26,54000,43200,86400,17,1,33.3
111,25,600,43200,86400,17,1,33.3
111,26,54000,86400,129600,17,1,33.3
111,25,600,86400,129600,17,1,33.3
111,26,54000,129600,172800,17,1,33.3
111,25,600,129600,172800,17,1,33.3
111,26,54000,172800,216000,17,1,33.3
111,25,600,172800,216000,17,1,33.3
111,26,54000,216000,259200,17,1,33.3
111,25,600,216000,259200,17,1,33.3
111,26,54000,259200,302400,17,1,33.3
111,25,600,259200,302400,17,1,33.3
111,26,54000,302400,345600,17,1,33.3
111,25,600,302400,345600,17,1,33.3
111,26,54000,345600,388800,17,1,33.3
111,25,600,345600,388800,17,1,33.3
111,26,54000,388800,432000,17,1,33.3
111,25,600,388800,432000,17,1,33.3
111,26,54000,432000,475200,17,1,33.3
111,25,600,432000,475200,17,1,33.3
111,26,54000,475200,518400,17,1,33.3
111,25,600,475200,518400,17,1,33.3
111,26,54000,518400,561600,17,1,33.3
111,25,600,518400,561600,17,1,33.3
111,26,54000,561600,604800,17,1,33.3
111,25,600,561600,604800,17,1,33.3
